setting initial condition
minimizing
NVT equilibration
start simulation
   0%|          | 0/5000 [00:00<?, ?it/s]#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
48.6%	243100	-34981.44164356805	304.17536406148236	1.057832775756175	240	3:05
 44%|████▎     | 2182/5000 [02:37<03:31, 13.29it/s]48.6%	243200	-34974.19492174775	307.291170943741	1.0579580118439693	240	3:05
48.7%	243300	-34959.20273424775	307.084423022162	1.0579580118439693	240	3:05
 44%|████▎     | 2184/5000 [02:37<03:21, 13.97it/s]48.7%	243400	-34991.39733286909	292.83943626410735	1.0576852941879487	240	3:05
48.7%	243500	-35227.69377768706	292.562361344147	1.0642086309633547	240	3:04
 44%|████▎     | 2186/5000 [02:37<03:13, 14.51it/s]48.7%	243600	-35010.07230241981	307.52144296326253	1.065571714935458	240	3:04
48.7%	243700	-34915.75980241981	301.8220329250346	1.065571714935458	240	3:04
 44%|████▍     | 2188/5000 [02:37<03:08, 14.90it/s]48.8%	243800	-35186.700869285414	295.6480085617967	1.0651708978084795	240	3:04
48.8%	243900	-34868.92622334135	290.59850306826115	1.062157811375408	240	3:04
 44%|████▍     | 2190/5000 [02:37<03:04, 15.24it/s]48.8%	244000	-34890.94320560689	309.0878031777438	1.059703010024514	240	3:04
48.8%	244100	-34835.958220715984	310.41876346946884	1.0579317462653246	240	3:04
 44%|████▍     | 2192/5000 [02:38<03:32, 13.23it/s]48.8%	244200	-34804.296100240375	306.2461881468697	1.0628939308467373	240	3:04
48.9%	244300	-34953.201893555175	305.24761124664985	1.0582131752629524	240	3:04
 44%|████▍     | 2194/5000 [02:38<03:47, 12.33it/s]48.9%	244400	-35150.951893555175	301.54908469943655	1.0582131752629524	240	3:04
48.9%	244500	-35215.022206055175	298.35069010239835	1.0582131752629524	240	3:04
 44%|████▍     | 2196/5000 [02:38<03:32, 13.20it/s]48.9%	244600	-34915.81385726362	302.4353852879016	1.0589481577350481	240	3:04
48.9%	244700	-34724.73908624539	310.7769468437202	1.0554572772094808	240	3:04
 44%|████▍     | 2198/5000 [02:38<03:35, 12.99it/s]49.0%	244800	-34762.7655576363	314.90813961971406	1.0554033170985515	240	3:04
49.0%	244900	-34802.02804378135	302.2661543151132	1.0550149977384329	240	3:03
 44%|████▍     | 2200/5000 [02:38<03:29, 13.38it/s]49.0%	245000	-34759.95773128135	310.42367655664833	1.0550149977384329	240	3:03
49.0%	245100	-34647.84418220859	303.97955916852067	1.0585848366298674	240	3:03
 44%|████▍     | 2202/5000 [02:38<03:28, 13.43it/s]49.0%	245200	-34834.45336752344	304.2359573895065	1.0532895641112154	240	3:03
49.1%	245300	-34749.654058289394	303.3788193631999	1.0480571649631096	239	3:03
 44%|████▍     | 2204/5000 [02:39<03:47, 12.31it/s]49.1%	245400	-34702.69624410503	309.3202891178066	1.0580611627613152	240	3:03
49.1%	245500	-34652.988378382055	305.1293026387931	1.0549199709491623	240	3:03
 44%|████▍     | 2206/5000 [02:39<03:32, 13.18it/s]49.1%	245600	-34426.39878565268	307.4029921341966	1.0521439119164315	239	3:03
49.1%	245700	-34985.836242923455	306.94025505995216	1.0484382380035078	239	3:03
 44%|████▍     | 2208/5000 [02:39<03:44, 12.44it/s]49.2%	245800	-34925.904783660546	300.8943157443475	1.0478889181763942	239	3:03
49.2%	245900	-34776.29832709639	295.0441164578664	1.0419229918517736	239	3:03
 44%|████▍     | 2210/5000 [02:39<03:29, 13.32it/s]49.2%	246000	-34672.30613959639	290.3661947225917	1.0419229918517736	239	3:03
49.2%	246100	-35106.99562012221	307.43134812990166	1.0383283834020585	240	3:03
 44%|████▍     | 2212/5000 [02:39<03:24, 13.62it/s]49.2%	246200	-35107.17530762221	303.43149599222045	1.0383283834020585	240	3:03
49.3%	246300	-35065.557683564024	300.54723640683966	1.0436165843734744	240	3:03
 44%|████▍     | 2214/5000 [02:39<03:16, 14.16it/s]49.3%	246400	-35212.9604988574	295.69506626782504	1.0445482069003593	239	3:02
49.3%	246500	-35032.51689369223	307.50649746439944	1.0432442034976435	240	3:02
 44%|████▍     | 2216/5000 [02:39<03:25, 13.58it/s]49.3%	246600	-34811.33113797754	308.46864340970507	1.0429110246154183	240	3:02
49.3%	246700	-34750.67488797754	316.0037065303216	1.0429110246154183	240	3:02
 44%|████▍     | 2218/5000 [02:40<03:18, 13.99it/s]49.4%	246800	-34933.55228702616	309.54517637442865	1.0385271725414347	239	3:02
49.4%	246900	-34738.87259952616	296.8002109568501	1.0385271725414347	239	3:02
 44%|████▍     | 2220/5000 [02:40<03:32, 13.10it/s]49.4%	247000	-34869.75541202616	304.9795071712371	1.0385271725414347	239	3:02
49.4%	247100	-34956.30228702616	303.8801725375162	1.0385271725414347	239	3:02
 44%|████▍     | 2222/5000 [02:40<03:25, 13.49it/s]49.4%	247200	-34852.40675562798	305.4046957386633	1.0379424563756485	239	3:02
49.5%	247300	-34810.12178638688	297.7925336050586	1.0437229023112125	239	3:02
 44%|████▍     | 2224/5000 [02:40<03:23, 13.66it/s]49.5%	247400	-34940.06022208862	303.2544891180748	1.0490265988580199	239	3:02
49.5%	247500	-34953.637541018834	297.55882116774984	1.0506936547290298	239	3:02
 45%|████▍     | 2226/5000 [02:40<03:29, 13.22it/s]49.5%	247600	-35221.20347641528	292.8495381073454	1.0456157543615037	239	3:02
49.5%	247700	-34897.5947606283	298.5998296181839	1.0432412894368777	239	3:02
 45%|████▍     | 2228/5000 [02:40<03:19, 13.88it/s]49.6%	247800	-34792.08215780169	306.99906118290323	1.047157044955113	239	3:01
49.6%	247900	-35218.39741483246	292.4621516134008	1.0560100616987722	239	3:01
 45%|████▍     | 2230/5000 [02:41<03:25, 13.50it/s]49.6%	248000	-35080.38956879516	296.45051129353294	1.0622732208617405	239	3:01
49.6%	248100	-34947.60050629516	299.26571338094845	1.0622732208617405	239	3:01
 45%|████▍     | 2232/5000 [02:41<03:44, 12.34it/s]49.6%	248200	-35031.4472130902	301.4260615072736	1.0533965058642343	239	3:01
49.7%	248300	-34931.37022112895	303.14804244729766	1.0512920479146781	239	3:01
 45%|████▍     | 2234/5000 [02:41<03:29, 13.20it/s]49.7%	248400	-35138.59755465729	303.2667942930415	1.0515654109052657	239	3:01
49.7%	248500	-34763.379778337636	291.809566988111	1.0543111898543545	239	3:01
 45%|████▍     | 2236/5000 [02:41<03:18, 13.90it/s]49.7%	248600	-35021.33213940609	308.86581321700646	1.0571255665124786	239	3:01
49.7%	248700	-35003.167254234315	294.30476212977715	1.0521760216743172	239	3:01
 45%|████▍     | 2238/5000 [02:41<03:11, 14.45it/s]49.8%	248800	-35156.88267467276	297.6146799803155	1.0531088315005992	239	3:01
49.8%	248900	-34852.22218589269	291.2975656982607	1.0605595688168459	239	3:01
 45%|████▍     | 2240/5000 [02:41<03:05, 14.88it/s]49.8%	249000	-34920.63624839269	300.2197098130184	1.0605595688168459	240	3:01
49.8%	249100	-35257.583160731476	298.9018568268352	1.0572253181742188	240	3:01
 45%|████▍     | 2242/5000 [02:41<03:03, 14.99it/s]49.8%	249200	-34960.54849126859	288.8326976849946	1.0603625839131845	240	3:00
49.9%	249300	-35075.00161626859	309.1584569937723	1.0603625839131845	240	3:00
 45%|████▍     | 2244/5000 [02:41<03:05, 14.86it/s]49.9%	249400	-35364.711659167544	296.0098368069172	1.059029199419656	239	3:00
49.9%	249500	-34982.905044413084	304.7211484443558	1.0586545614666663	239	3:00
 45%|████▍     | 2246/5000 [02:42<03:23, 13.55it/s]49.9%	249600	-34817.083048631524	303.62587675180066	1.0457556027251267	239	3:00
49.9%	249700	-35037.732267627	307.71957504009066	1.0452351143220757	239	3:00
 45%|████▍     | 2248/5000 [02:42<03:40, 12.46it/s]50.0%	249800	-34915.482267627	305.4597843385779	1.0452351143220757	239	3:00
50.0%	249900	-34971.22561420765	306.1089547368168	1.049129831775126	239	3:00
 45%|████▌     | 2250/5000 [02:42<03:41, 12.44it/s]50.0%	250000	-34785.09292938249	301.3129474072789	1.0526600272086106	239	3:00
50.0%	250100	-34920.298434605415	300.00993321360255	1.0487170567707316	239	3:00
 45%|████▌     | 2252/5000 [02:42<03:28, 13.16it/s]50.0%	250200	-35019.67309475635	310.0938662785804	1.0503011583684119	239	3:00
50.1%	250300	-34941.540128910885	299.8105718496299	1.0442123266094316	239	3:00
 45%|████▌     | 2254/5000 [02:42<03:30, 13.06it/s]50.1%	250400	-34889.50626872957	311.2992998600324	1.0448003843131122	239	3:00
50.1%	250500	-34842.342620634154	300.1536651486269	1.0469223160114316	239	3:00
 45%|████▌     | 2256/5000 [02:42<03:30, 13.04it/s]50.1%	250600	-34647.270830117486	299.95981136966674	1.0445237174634867	239	3:00
50.1%	250700	-35079.98047348522	308.58792199333266	1.0430976026154413	239	2:59
 45%|████▌     | 2258/5000 [02:43<03:38, 12.57it/s]50.2%	250800	-34951.94720155554	300.803052138039	1.047132837747935	239	2:59
50.2%	250900	-34841.372081509646	300.7165245374825	1.049548678491711	239	2:59
 45%|████▌     | 2260/5000 [02:43<03:38, 12.55it/s]50.2%	251000	-34890.372081509646	304.2567929266872	1.049548678491711	239	2:59
50.2%	251100	-35078.981456509646	311.6886842822957	1.049548678491711	239	2:59
 45%|████▌     | 2262/5000 [02:43<03:41, 12.34it/s]50.2%	251200	-35065.325206509646	295.26056303404295	1.049548678491711	239	2:59
50.3%	251300	-34917.38096150829	302.59321968920966	1.047531699305826	239	2:59
 45%|████▌     | 2264/5000 [02:43<03:32, 12.86it/s]50.3%	251400	-34997.79891945093	302.69343329447344	1.0495165012408951	239	2:59
50.3%	251500	-34847.28101899996	304.8384306877947	1.0483439618599482	239	2:59
 45%|████▌     | 2266/5000 [02:43<03:25, 13.30it/s]50.3%	251600	-34704.92164399996	292.13839683449345	1.0483439618599482	239	2:59
50.3%	251700	-34906.87476899996	299.3696010135313	1.0483439618599482	239	2:59
 45%|████▌     | 2268/5000 [02:43<03:34, 12.75it/s]50.4%	251800	-34860.16383149996	296.3526928895796	1.0483439618599482	239	2:59
50.4%	251900	-35031.24976899996	294.675541756541	1.0483439618599482	239	2:59
 45%|████▌     | 2270/5000 [02:44<03:21, 13.57it/s]50.4%	252000	-34915.770343891316	306.866046651173	1.054928050488203	239	2:59
50.4%	252100	-34936.05689899632	309.89629945651984	1.0466953845371445	239	2:59
 45%|████▌     | 2272/5000 [02:44<03:26, 13.23it/s]50.4%	252200	-34860.09976096646	297.73839406743235	1.0447092548058203	239	2:58
50.5%	252300	-35141.90925443027	293.55467453620537	1.0465279006704205	239	2:58
 45%|████▌     | 2274/5000 [02:44<03:16, 13.86it/s]50.5%	252400	-34661.26626185456	294.58159179214425	1.0486184182140184	239	2:58
50.5%	252500	-34791.18032435456	307.3491880494428	1.0486184182140184	239	2:58
 46%|████▌     | 2276/5000 [02:44<03:12, 14.16it/s]50.5%	252600	-34857.92627346367	292.6486932149251	1.0553655264313693	239	2:58
50.5%	252700	-34998.03881375841	292.4148141358609	1.0567245516251285	239	2:58
 46%|████▌     | 2278/5000 [02:44<03:09, 14.36it/s]50.6%	252800	-34927.37271736658	302.70027210880585	1.057848429855813	239	2:58
50.6%	252900	-34904.05493989657	290.8930741714022	1.05073132914621	239	2:58
 46%|████▌     | 2280/5000 [02:44<03:07, 14.54it/s]50.6%	253000	-34765.24243989657	291.44303498364724	1.05073132914621	239	2:58
50.6%	253100	-34872.14207046441	304.48808683188736	1.0501272693803576	239	2:58
 46%|████▌     | 2282/5000 [02:44<03:15, 13.92it/s]50.6%	253200	-34945.5922024482	318.5531125404779	1.053622225933105	239	2:58
50.7%	253300	-34629.19351149452	300.2901140303414	1.0565305857563394	239	2:58
 46%|████▌     | 2284/5000 [02:45<03:22, 13.44it/s]50.7%	253400	-34713.231613239244	307.3677255357343	1.055813986150885	239	2:58
50.7%	253500	-34558.082238238334	297.0512613061705	1.0554505245066266	239	2:58
 46%|████▌     | 2286/5000 [02:45<03:40, 12.31it/s]50.7%	253600	-34964.910363238334	296.95246758608477	1.0554505245066266	239	2:57
50.7%	253700	-35068.55457446654	305.5566444609087	1.0514329534515443	239	2:57
 46%|████▌     | 2288/5000 [02:45<03:25, 13.18it/s]50.8%	253800	-34843.091536375694	299.9841088403959	1.055555519184811	239	2:57
50.8%	253900	-35073.568098875694	302.6640274498977	1.055555519184811	239	2:57
 46%|████▌     | 2290/5000 [02:45<03:20, 13.51it/s]50.8%	254000	-34997.92309255124	297.9177029051757	1.0559471394326934	239	2:57
50.8%	254100	-34944.58571121865	305.448030444225	1.0517845500278626	239	2:57
 46%|████▌     | 2292/5000 [02:45<03:17, 13.73it/s]50.8%	254200	-35014.61314877629	292.2409651382402	1.049977123019508	239	2:57
50.9%	254300	-34758.37877377629	290.0744726089721	1.049977123019508	239	2:57
 46%|████▌     | 2294/5000 [02:45<03:11, 14.14it/s]50.9%	254400	-34727.26477440723	290.759871530537	1.052042156825376	239	2:57
50.9%	254500	-35083.43664940723	303.7546633998826	1.052042156825376	239	2:57
 46%|████▌     | 2296/5000 [02:45<03:21, 13.45it/s]50.9%	254600	-34933.77878899424	299.0597575710433	1.056082038809448	239	2:57
50.9%	254700	-35069.00909902141	298.812722577346	1.0572712008923686	239	2:57
 46%|████▌     | 2298/5000 [02:46<03:15, 13.86it/s]51.0%	254800	-34717.081098828494	304.1716419640067	1.0581724424160635	239	2:57
51.0%	254900	-34729.60623959999	299.10580133497905	1.060750022230883	239	2:57
 46%|████▌     | 2300/5000 [02:46<03:20, 13.44it/s]51.0%	255000	-34985.79958174369	301.68272513855584	1.0601984598847403	239	2:56
51.0%	255100	-35226.13131609498	295.0683333644065	1.0585630587018258	239	2:56
 46%|████▌     | 2302/5000 [02:46<03:24, 13.22it/s]51.0%	255200	-34854.64572658387	288.61925567556784	1.0586375632711775	239	2:56
51.1%	255300	-34984.09885158387	298.1003783870306	1.0586375632711775	239	2:56
 46%|████▌     | 2304/5000 [02:46<03:42, 12.14it/s]51.1%	255400	-35105.20822658387	303.07893878441644	1.0586375632711775	239	2:56
51.1%	255500	-34910.47273753537	300.16185259129355	1.0498030991030627	239	2:56
 46%|████▌     | 2306/5000 [02:46<03:26, 13.07it/s]51.1%	255600	-35109.22273753537	300.5354564614759	1.0498030991030627	239	2:56
51.1%	255700	-34937.362120448204	302.18909776130954	1.0527885141084417	239	2:56
 46%|████▌     | 2308/5000 [02:46<03:14, 13.83it/s]51.2%	255800	-34895.42371812684	303.5976606851469	1.051190385907396	239	2:56
51.2%	255900	-35084.78309312684	301.4343566705966	1.051190385907396	239	2:56
 46%|████▌     | 2310/5000 [02:46<03:20, 13.42it/s]51.2%	256000	-34984.93602430736	304.6624313436514	1.0446247153620987	239	2:56
51.2%	256100	-35112.515531486744	309.3100348029457	1.0430523837708752	239	2:56
 46%|████▌     | 2312/5000 [02:47<03:10, 14.12it/s]51.2%	256200	-34998.534521254594	294.3789220788148	1.0420317526512242	239	2:56
51.3%	256300	-35054.312005361426	299.1306830529851	1.0449886688090415	239	2:56
 46%|████▋     | 2314/5000 [02:47<03:28, 12.89it/s]51.3%	256400	-34894.93087214726	308.66134576175034	1.0525944518393586	239	2:56
51.3%	256500	-34942.40743464726	292.9333215150542	1.0525944518393586	239	2:55
 46%|████▋     | 2316/5000 [02:47<03:16, 13.64it/s]51.3%	256600	-35157.101550233114	297.70462111992816	1.0489639636994088	239	2:55
51.3%	256700	-34798.968726843916	301.47474977003515	1.046317275442926	239	2:55
 46%|████▋     | 2318/5000 [02:47<03:19, 13.44it/s]51.4%	256800	-34915.929664343916	300.6197080980395	1.046317275442926	239	2:55
51.4%	256900	-35200.429664343916	296.3116318358584	1.046317275442926	239	2:55
 46%|████▋     | 2320/5000 [02:47<03:24, 13.11it/s]51.4%	257000	-34992.406226843916	295.2215507763256	1.046317275442926	239	2:55
51.4%	257100	-35201.71427083574	303.9136102096618	1.0530598090711214	239	2:55
 46%|████▋     | 2322/5000 [02:47<03:26, 12.97it/s]51.4%	257200	-35403.94083333574	294.22485384724047	1.0530598090711214	239	2:55
51.5%	257300	-35042.98770833574	297.9150140033796	1.0530598090711214	239	2:55
 46%|████▋     | 2324/5000 [02:48<03:21, 13.25it/s]51.5%	257400	-34972.54886587584	314.64450625669224	1.0437816714628683	239	2:55
51.5%	257500	-34912.36136587584	295.9836831439439	1.0437816714628683	239	2:55
 47%|████▋     | 2326/5000 [02:48<03:38, 12.22it/s]51.5%	257600	-35046.89829479312	308.21599871810935	1.0434929224917586	239	2:55
51.5%	257700	-35051.23336569537	296.2838047640064	1.0467472340577306	239	2:55
 47%|████▋     | 2328/5000 [02:48<03:26, 12.93it/s]51.6%	257800	-35169.56223878646	298.6754280727099	1.0469321191975776	239	2:55
51.6%	257900	-34798.43723878646	318.81570850278354	1.0469321191975776	239	2:55
 47%|████▋     | 2330/5000 [02:48<03:27, 12.85it/s]51.6%	258000	-34906.86535421325	302.92808121245923	1.047179023857677	239	2:54
51.6%	258100	-35014.599657541956	308.29671770448755	1.0526477828225473	239	2:54
 47%|████▋     | 2332/5000 [02:48<03:30, 12.69it/s]51.6%	258200	-34785.87674398854	294.0410687984363	1.0542769259481424	239	2:54
51.7%	258300	-34805.488279664656	300.4122897825542	1.0530662605240775	239	2:54
 47%|████▋     | 2334/5000 [02:48<03:33, 12.48it/s]51.7%	258400	-35208.99730977672	312.3136200823192	1.0454931892995927	239	2:54
51.7%	258500	-34996.59887227672	296.7926445468603	1.0454931892995927	239	2:54
 47%|████▋     | 2336/5000 [02:49<03:32, 12.54it/s]51.7%	258600	-34832.12230977672	303.46774400746295	1.0454931892995927	239	2:54
51.7%	258700	-34847.39574727672	305.9204944386382	1.0454931892995927	239	2:54
 47%|████▋     | 2338/5000 [02:49<03:18, 13.41it/s]51.8%	258800	-35219.07584842056	295.94196692395326	1.0436452644637324	239	2:54
51.8%	258900	-35145.03768264616	303.23198266437083	1.0401266365722122	239	2:54
 47%|████▋     | 2340/5000 [02:49<03:32, 12.51it/s]51.8%	259000	-34793.227038937184	297.48507978837847	1.0440292269330362	239	2:54
51.8%	259100	-34996.79297901504	305.8231021395548	1.0445973853921537	239	2:54
 47%|████▋     | 2342/5000 [02:49<03:30, 12.64it/s]51.8%	259200	-34804.197118800075	295.94500043208427	1.0439560249174802	239	2:54
51.9%	259300	-34875.505337134964	304.498156593783	1.0371148253780473	239	2:54
 47%|████▋     | 2344/5000 [02:49<03:17, 13.47it/s]51.9%	259400	-34807.208462134964	302.7519420777932	1.0371148253780473	239	2:53
51.9%	259500	-34465.60245127586	295.0211791455063	1.03080105658748	239	2:53
 47%|████▋     | 2346/5000 [02:49<03:08, 14.11it/s]51.9%	259600	-34892.35245127586	303.75828977423043	1.03080105658748	239	2:53
51.9%	259700	-34714.45416841569	297.86418241222697	1.0285973317023251	239	2:53
 47%|████▋     | 2348/5000 [02:49<03:01, 14.58it/s]52.0%	259800	-34746.64702584973	292.0973501369478	1.034039177346204	239	2:53
52.0%	259900	-34523.69908158996	294.5392787732606	1.0378028697408535	239	2:53
 47%|████▋     | 2350/5000 [02:49<02:56, 14.99it/s]52.0%	260000	-34602.8715048242	296.28391925452917	1.0450430055500435	239	2:53
52.0%	260100	-34691.50060058385	298.3358208071354	1.0484415709580774	239	2:53
 47%|████▋     | 2352/5000 [02:50<02:53, 15.28it/s]52.0%	260200	-34702.90685058385	307.6938551593858	1.0484415709580774	239	2:53
52.1%	260300	-34581.13341308385	298.1024387660721	1.0484415709580774	239	2:53
 47%|████▋     | 2354/5000 [02:50<03:18, 13.35it/s]52.1%	260400	-34614.03649891607	301.4183386505425	1.046641464273969	239	2:53
52.1%	260500	-34744.34107769537	303.9347599043663	1.0477870815602432	239	2:53
 47%|████▋     | 2356/5000 [02:50<03:38, 12.12it/s]52.1%	260600	-34876.41920269537	292.59594502095695	1.0477870815602432	239	2:53
52.1%	260700	-34852.81208618492	284.29374919257384	1.0467539583327596	239	2:53
 47%|████▋     | 2358/5000 [02:50<03:22, 13.05it/s]52.2%	260800	-35009.06208618492	303.73690825696923	1.0467539583327596	239	2:53
52.2%	260900	-35009.50739868492	304.289973484435	1.0467539583327596	239	2:52
 47%|████▋     | 2360/5000 [02:50<03:22, 13.06it/s]52.2%	261000	-35152.60896118492	302.3154883765551	1.0467539583327596	239	2:52
52.2%	261100	-35051.94466884254	301.9889369809494	1.0447223295562833	239	2:52
 47%|████▋     | 2362/5000 [02:50<03:11, 13.78it/s]52.2%	261200	-34942.13377276412	301.053031889117	1.0468576932945874	239	2:52
52.3%	261300	-35104.86797127794	298.5459739955173	1.0438562597422143	239	2:52
 47%|████▋     | 2364/5000 [02:51<03:03, 14.36it/s]52.3%	261400	-34986.904257554444	299.9869449704255	1.046206819359355	239	2:52
52.3%	261500	-35065.340273497306	302.75553242308763	1.0451314352503076	239	2:52
 47%|████▋     | 2366/5000 [02:51<03:19, 13.18it/s]52.3%	261600	-35136.02915421067	295.3629640985708	1.0504401568733905	239	2:52
52.3%	261700	-34879.43887626147	292.52515694790645	1.0523319590194613	239	2:52
 47%|████▋     | 2368/5000 [02:51<03:09, 13.90it/s]52.4%	261800	-34961.29825126147	300.4851788837532	1.0523319590194613	239	2:52
52.4%	261900	-34920.47636053557	295.9154137293139	1.0519612623011767	239	2:52
 47%|████▋     | 2370/5000 [02:51<03:01, 14.48it/s]52.4%	262000	-34880.34652389726	296.5141594794326	1.052083084610132	239	2:52
52.4%	262100	-34862.45589889726	308.99239754852397	1.052083084610132	239	2:52
 47%|████▋     | 2372/5000 [02:51<03:06, 14.05it/s]52.4%	262200	-34671.429761525156	299.3240114811834	1.0508175338174353	239	2:51
52.5%	262300	-34669.23053725899	301.93702995567776	1.049538298302536	239	2:51
 47%|████▋     | 2374/5000 [02:51<03:18, 13.22it/s]52.5%	262400	-34674.26081235366	301.5287486796332	1.0484686635416107	239	2:51
52.5%	262500	-34742.97956235366	316.0480903291269	1.0484686635416107	239	2:51
 48%|████▊     | 2376/5000 [02:51<03:24, 12.84it/s]52.5%	262600	-34672.75105144468	299.46854922429645	1.0413009357854481	239	2:51
52.5%	262700	-34521.82184370569	299.7381346590983	1.047481672276018	239	2:51
 48%|████▊     | 2378/5000 [02:52<03:14, 13.45it/s]52.6%	262800	-34601.594278108096	301.6191215669774	1.05038156711118	239	2:51
52.6%	262900	-35080.711465608096	305.7447544222908	1.05038156711118	239	2:51
 48%|████▊     | 2380/5000 [02:52<03:16, 13.35it/s]52.6%	263000	-34893.72616864802	291.3176199633626	1.0554878492321145	239	2:51
52.6%	263100	-34933.95844771326	297.2675854111343	1.056875683402967	239	2:51
 48%|████▊     | 2382/5000 [02:52<03:31, 12.39it/s]52.6%	263200	-34821.77094771326	304.3669046749701	1.056875683402967	239	2:51
52.7%	263300	-34885.90156082189	307.7645860467989	1.054027844867274	239	2:51
 48%|████▊     | 2384/5000 [02:52<03:30, 12.42it/s]52.7%	263400	-35043.18770477627	303.30781691283596	1.0535537943993507	239	2:51
52.7%	263500	-34876.42207977627	299.524339193539	1.0535537943993507	239	2:51
 48%|████▊     | 2386/5000 [02:52<03:17, 13.23it/s]52.7%	263600	-35001.38338935445	311.6072853038864	1.0525875886354097	239	2:51
52.7%	263700	-34718.41463935445	291.2292516284285	1.0525875886354097	239	2:50
 48%|████▊     | 2388/5000 [02:52<03:07, 13.94it/s]52.8%	263800	-34733.20371808836	297.28130614873356	1.0592924040317795	239	2:50
52.8%	263900	-34799.73398029353	295.196059970332	1.051076897423657	239	2:50
 48%|████▊     | 2390/5000 [02:53<03:12, 13.57it/s]52.8%	264000	-34770.87331820125	299.8648324835963	1.0536207100150985	239	2:50
52.8%	264100	-34970.30227052007	305.8419382644034	1.0519362503196525	239	2:50
 48%|████▊     | 2392/5000 [02:53<03:03, 14.19it/s]52.8%	264200	-34937.94884017491	298.62619116944023	1.0557085688472179	239	2:50
52.9%	264300	-34895.602247064	295.1246068507308	1.059558093505116	239	2:50
 48%|████▊     | 2394/5000 [02:53<03:12, 13.51it/s]52.9%	264400	-34934.39731346839	300.31961538786885	1.055744260564756	239	2:50
52.9%	264500	-34980.52890027338	289.9338343179438	1.0568772649634433	239	2:50
 48%|████▊     | 2396/5000 [02:53<03:18, 13.12it/s]52.9%	264600	-35009.95807749775	303.8281451793444	1.0592534116912495	239	2:50
52.9%	264700	-34976.01137069892	302.2033829504006	1.0611784818023502	239	2:50
 48%|████▊     | 2398/5000 [02:53<03:12, 13.53it/s]53.0%	264800	-34990.406237989984	293.1799608568419	1.06131460464684	239	2:50
53.0%	264900	-35205.968737989984	291.88474254013533	1.06131460464684	239	2:50
 48%|████▊     | 2400/5000 [02:53<03:14, 13.34it/s]53.0%	265000	-35070.937707486446	302.35711935054553	1.0615817397332579	239	2:50
53.0%	265100	-35166.58941540975	293.527570283608	1.05994251137155	239	2:49
 48%|████▊     | 2402/5000 [02:53<03:09, 13.71it/s]53.0%	265200	-35116.48004040975	300.9865215477697	1.05994251137155	239	2:49
53.1%	265300	-34818.429550979985	295.05041173456266	1.0535499404776665	239	2:49
 48%|████▊     | 2404/5000 [02:54<03:01, 14.27it/s]53.1%	265400	-34765.27080980336	297.11090056250407	1.0556390623182117	239	2:49
53.1%	265500	-34890.27080980336	291.3591285415639	1.0556390623182117	239	2:49
 48%|████▊     | 2406/5000 [02:54<03:02, 14.22it/s]53.1%	265600	-34845.002381602884	294.8225950587922	1.0522550925035208	239	2:49
53.1%	265700	-34850.29065744477	303.05602925088795	1.0424539179565646	239	2:49
 48%|████▊     | 2408/5000 [02:54<03:17, 13.13it/s]53.2%	265800	-34860.00940744477	305.45613002745233	1.0424539179565646	239	2:49
53.2%	265900	-35060.23764566489	306.2373145402362	1.043619685169534	239	2:49
 48%|████▊     | 2410/5000 [02:54<03:17, 13.12it/s]53.2%	266000	-34886.63228719644	305.04618863680406	1.0478113255218209	239	2:49
53.2%	266100	-34984.07714954257	293.4027638387261	1.0520407468520698	239	2:49
 48%|████▊     | 2412/5000 [02:54<03:08, 13.75it/s]53.2%	266200	-35146.726422376	291.4337686203294	1.056372902763473	239	2:49
53.3%	266300	-34845.626629784616	296.87265142368693	1.0571868581814718	239	2:49
 48%|████▊     | 2414/5000 [02:54<03:00, 14.30it/s]53.3%	266400	-35059.892254784616	303.92619757462586	1.0571868581814718	239	2:49
53.3%	266500	-34820.54585578505	308.82118322405836	1.056274757214751	239	2:48
 48%|████▊     | 2416/5000 [02:54<03:10, 13.54it/s]53.3%	266600	-34972.18648078505	296.27161069745256	1.056274757214751	239	2:48
53.3%	266700	-35041.265824134665	293.13900704085927	1.0592879555019323	239	2:48
 48%|████▊     | 2418/5000 [02:55<03:07, 13.75it/s]53.4%	266800	-34941.359574134665	303.55304149770393	1.0592879555019323	239	2:48
53.4%	266900	-34836.47410757278	299.1034443219175	1.0590815481170885	239	2:48
 48%|████▊     | 2420/5000 [02:55<03:05, 13.93it/s]53.4%	267000	-34938.468520580354	299.1429443512593	1.0578716147703084	239	2:48
53.4%	267100	-34766.42612897864	288.26756650413955	1.0565107398662497	239	2:48
 48%|████▊     | 2422/5000 [02:55<03:29, 12.32it/s]53.4%	267200	-34799.658444740024	293.77644845266985	1.0536644839370255	239	2:48
53.5%	267300	-35026.35922136478	293.2129054493792	1.0540790602718253	239	2:48
 48%|████▊     | 2424/5000 [02:55<03:22, 12.69it/s]53.5%	267400	-35117.96331255033	297.2660603968497	1.0486380459414186	239	2:48
53.5%	267500	-34933.80706255033	296.2973660438426	1.0486380459414186	239	2:48
 49%|████▊     | 2426/5000 [02:55<03:10, 13.50it/s]53.5%	267600	-34887.681454447826	306.38472221251254	1.0475725531220963	239	2:48
53.5%	267700	-34912.23999749537	298.6027412009476	1.0431169290082574	239	2:48
